2025-12-14 14:20:43 | INFO     | f27afc8d-7f35-4873-918a-a0fbc2d1908a | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-14 14:20:43 | INFO     | f27afc8d-7f35-4873-918a-a0fbc2d1908a | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /
2025-12-14 14:21:09 | INFO     | 0dd3a26d-4c96-49a8-b88f-34ec18735b70 | src.core.middlewares.logging:dispatch:72 | Request started: GET /health/redis
2025-12-14 14:21:09 | INFO     | 0dd3a26d-4c96-49a8-b88f-34ec18735b70 | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /health/redis
2025-12-14 14:21:22 | INFO     | 8a2bac2b-352c-4d14-972c-fe8dfd6f43b3 | src.core.middlewares.logging:dispatch:72 | Request started: GET /health/database
2025-12-14 14:21:22 | INFO     | 8a2bac2b-352c-4d14-972c-fe8dfd6f43b3 | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /health/database
2025-12-14 14:22:24 | INFO     | - | src.app:lifespan:47 | Logging configured
2025-12-14 14:22:24 | INFO     | - | src.core.configs.database:init:70 | ✅ Write DB initialized: 127.0.0.1:5433/timima (pool_size=10, max_overflow=20)
2025-12-14 14:22:24 | INFO     | - | src.core.configs.database:init:105 | Read DB using write DB configuration (no replica)
2025-12-14 14:22:24 | INFO     | - | src.core.configs.database:_verify_connections:147 | Write DB connection verified
2025-12-14 14:22:24 | INFO     | - | src.core.configs.database:_verify_connections:151 | Read DB connection verified
2025-12-14 14:22:24 | INFO     | - | src.app:lifespan:52 | Database initialized
2025-12-14 14:22:24 | INFO     | - | src.core.configs.redis:init:93 | Redis initialized: 127.0.0.1:6379 (db=0, max_connections=100, key_prefix=timima:)
2025-12-14 14:22:24 | INFO     | - | src.app:lifespan:60 | Redis initialized
2025-12-14 14:22:24 | INFO     | - | src.app:lifespan:68 | Database health: healthy
2025-12-14 14:22:24 | INFO     | - | src.app:lifespan:72 | Redis health: healthy
2025-12-14 14:22:24 | WARNING  | - | src.core.routers.loader:load_all:84 | No controller files found in 'src/modules'
2025-12-14 14:22:24 | INFO     | - | src.app:lifespan:83 | Routers loaded
2025-12-14 14:22:24 | INFO     | - | src.app:lifespan:89 | Application startup complete
2025-12-14 14:32:55 | INFO     | - | src.app:lifespan:95 | Application shutting down...
2025-12-14 14:32:55 | INFO     | - | src.core.configs.redis:close:130 | Redis client closed
2025-12-14 14:32:55 | INFO     | - | src.core.configs.redis:close:134 | Redis connection pool closed
2025-12-14 14:32:55 | INFO     | - | src.app:lifespan:101 | Redis closed
2025-12-14 14:32:55 | INFO     | - | src.core.configs.database:close:163 | Write DB connection pool closed
2025-12-14 14:32:55 | INFO     | - | src.app:lifespan:109 | Database closed
2025-12-14 14:32:55 | INFO     | - | src.app:lifespan:113 | Application shutdown complete
2025-12-14 14:32:56 | INFO     | - | src.app:lifespan:47 | Logging configured
2025-12-14 14:32:57 | INFO     | - | src.core.configs.database:init:70 | ✅ Write DB initialized: 127.0.0.1:5433/timima (pool_size=10, max_overflow=20)
2025-12-14 14:32:57 | INFO     | - | src.core.configs.database:init:105 | Read DB using write DB configuration (no replica)
2025-12-14 14:32:57 | INFO     | - | src.core.configs.database:_verify_connections:147 | Write DB connection verified
2025-12-14 14:32:57 | INFO     | - | src.core.configs.database:_verify_connections:151 | Read DB connection verified
2025-12-14 14:32:57 | INFO     | - | src.app:lifespan:52 | Database initialized
2025-12-14 14:32:57 | INFO     | - | src.core.configs.redis:init:93 | Redis initialized: 127.0.0.1:6379 (db=0, max_connections=100, key_prefix=timima:)
2025-12-14 14:32:57 | INFO     | - | src.app:lifespan:60 | Redis initialized
2025-12-14 14:32:57 | INFO     | - | src.app:lifespan:68 | Database health: healthy
2025-12-14 14:32:57 | INFO     | - | src.app:lifespan:72 | Redis health: healthy
2025-12-14 14:32:57 | WARNING  | - | src.core.routers.loader:load_all:84 | No controller files found in 'src/modules'
2025-12-14 14:32:57 | INFO     | - | src.app:lifespan:83 | Routers loaded
2025-12-14 14:32:57 | INFO     | - | src.app:lifespan:89 | Application startup complete
2025-12-14 14:33:34 | INFO     | - | src.app:lifespan:95 | Application shutting down...
2025-12-14 14:33:34 | INFO     | - | src.core.configs.redis:close:130 | Redis client closed
2025-12-14 14:33:34 | INFO     | - | src.core.configs.redis:close:134 | Redis connection pool closed
2025-12-14 14:33:34 | INFO     | - | src.app:lifespan:101 | Redis closed
2025-12-14 14:33:34 | INFO     | - | src.core.configs.database:close:163 | Write DB connection pool closed
2025-12-14 14:33:34 | INFO     | - | src.app:lifespan:109 | Database closed
2025-12-14 14:33:34 | INFO     | - | src.app:lifespan:113 | Application shutdown complete
2025-12-14 14:33:35 | INFO     | - | src.app:lifespan:47 | Logging configured
2025-12-14 14:33:35 | INFO     | - | src.core.configs.database:init:70 | ✅ Write DB initialized: 127.0.0.1:5433/timima (pool_size=10, max_overflow=20)
2025-12-14 14:33:35 | INFO     | - | src.core.configs.database:init:105 | Read DB using write DB configuration (no replica)
2025-12-14 14:33:35 | INFO     | - | src.core.configs.database:_verify_connections:147 | Write DB connection verified
2025-12-14 14:33:35 | INFO     | - | src.core.configs.database:_verify_connections:151 | Read DB connection verified
2025-12-14 14:33:35 | INFO     | - | src.app:lifespan:52 | Database initialized
2025-12-14 14:33:35 | INFO     | - | src.core.configs.redis:init:93 | Redis initialized: 127.0.0.1:6379 (db=0, max_connections=100, key_prefix=timima:)
2025-12-14 14:33:35 | INFO     | - | src.app:lifespan:60 | Redis initialized
2025-12-14 14:33:35 | INFO     | - | src.app:lifespan:68 | Database health: healthy
2025-12-14 14:33:35 | INFO     | - | src.app:lifespan:72 | Redis health: healthy
2025-12-14 14:33:35 | WARNING  | - | src.core.routers.loader:load_all:84 | No controller files found in 'src/modules'
2025-12-14 14:33:35 | INFO     | - | src.app:lifespan:83 | Routers loaded
2025-12-14 14:33:35 | INFO     | - | src.app:lifespan:89 | Application startup complete
2025-12-14 15:01:15 | INFO     | - | src.app:lifespan:95 | Application shutting down...
2025-12-14 15:01:15 | INFO     | - | src.core.configs.redis:close:130 | Redis client closed
2025-12-14 15:01:15 | INFO     | - | src.core.configs.redis:close:134 | Redis connection pool closed
2025-12-14 15:01:15 | INFO     | - | src.app:lifespan:101 | Redis closed
2025-12-14 15:01:15 | INFO     | - | src.core.configs.database:close:163 | Write DB connection pool closed
2025-12-14 15:01:15 | INFO     | - | src.app:lifespan:109 | Database closed
2025-12-14 15:01:15 | INFO     | - | src.app:lifespan:113 | Application shutdown complete
