2025-12-12 10:37:27 | WARNING  | cd4c3b6c-dfb4-409e-8464-782196eb5948 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:37:27 | WARNING  | cd4c3b6c-dfb4-409e-8464-782196eb5948 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:37:27 | INFO     | 94b5a0b2-70e7-4e93-bccf-30d875c78995 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:37:27 | WARNING  | 94b5a0b2-70e7-4e93-bccf-30d875c78995 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:37:27 | WARNING  | 94b5a0b2-70e7-4e93-bccf-30d875c78995 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:37:27 | INFO     | dc1dfa00-5482-4877-a48d-0cee4560c422 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:37:27 | WARNING  | dc1dfa00-5482-4877-a48d-0cee4560c422 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:37:27 | WARNING  | dc1dfa00-5482-4877-a48d-0cee4560c422 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:37:27 | INFO     | cfb8074c-d7c8-4923-8422-264f690d2713 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:37:27 | WARNING  | cfb8074c-d7c8-4923-8422-264f690d2713 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:37:27 | WARNING  | cfb8074c-d7c8-4923-8422-264f690d2713 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:37:28 | INFO     | 41fd26f2-8558-460e-be35-15ab42daca3b | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:37:28 | WARNING  | 41fd26f2-8558-460e-be35-15ab42daca3b | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:37:28 | WARNING  | 41fd26f2-8558-460e-be35-15ab42daca3b | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:37:28 | INFO     | 464e1356-35ba-4394-9358-1508f9355a87 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:37:28 | WARNING  | 464e1356-35ba-4394-9358-1508f9355a87 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:37:28 | WARNING  | 464e1356-35ba-4394-9358-1508f9355a87 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:37:28 | INFO     | 617b0783-0b10-46f2-8142-176c61e24aa8 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:37:28 | WARNING  | 617b0783-0b10-46f2-8142-176c61e24aa8 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:37:28 | WARNING  | 617b0783-0b10-46f2-8142-176c61e24aa8 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:37:28 | INFO     | 5ee5ae44-da1c-47f7-976d-55801ec87cab | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:37:28 | WARNING  | 5ee5ae44-da1c-47f7-976d-55801ec87cab | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:37:28 | WARNING  | 5ee5ae44-da1c-47f7-976d-55801ec87cab | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:37:28 | INFO     | 1fb204eb-6761-4048-93a3-f9d232a10dcc | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:37:28 | WARNING  | 1fb204eb-6761-4048-93a3-f9d232a10dcc | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:37:28 | WARNING  | 1fb204eb-6761-4048-93a3-f9d232a10dcc | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:38:12 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-12 10:38:26 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-12 10:38:27 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-12 10:38:29 | INFO     | 0e738246-dad0-4117-9d25-470bb9126b7b | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:38:29 | WARNING  | 0e738246-dad0-4117-9d25-470bb9126b7b | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:38:29 | WARNING  | 0e738246-dad0-4117-9d25-470bb9126b7b | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:38:30 | INFO     | 8249c3cd-dd5a-4570-a6c9-97848a8e3f65 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:38:30 | WARNING  | 8249c3cd-dd5a-4570-a6c9-97848a8e3f65 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:38:30 | WARNING  | 8249c3cd-dd5a-4570-a6c9-97848a8e3f65 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:38:30 | INFO     | 5b8827a8-6b76-4bce-94d1-55be8efb711b | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:38:30 | WARNING  | 5b8827a8-6b76-4bce-94d1-55be8efb711b | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:38:30 | WARNING  | 5b8827a8-6b76-4bce-94d1-55be8efb711b | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:38:30 | INFO     | be30d042-3645-4f56-a47a-54df82127fb3 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
