2025-12-11 22:14:17 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:14:18 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:14:21 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:14:22 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:14:22 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:14:37 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:15:03 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:15:04 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:15:04 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:17:37 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:17:54 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:17:54 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:17:54 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:18:02 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:18:03 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:18:03 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:18:38 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:18:38 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:18:39 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:18:39 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:19:49 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:19:49 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:19:49 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:19:50 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:19:51 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:19:51 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:20:34 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:20:34 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:20:34 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:20:37 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:21:04 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:21:04 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:21:05 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:22:12 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:22:12 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:22:13 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:22:38 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:22:38 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:22:38 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:22:45 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:22:45 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:22:45 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:23:37 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:24:10 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:24:10 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:24:10 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:24:17 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:24:17 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:24:17 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:24:18 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:24:19 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:24:19 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:24:27 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:24:27 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:24:27 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:24:30 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:24:30 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:24:31 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:24:49 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:24:50 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:24:50 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:24:51 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:24:51 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:24:52 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:25:18 | INFO     | - | watchfiles.main:_log_changes:308 | 4 changes detected
2025-12-11 22:25:18 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:25:19 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:25:39 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:25:39 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:25:40 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:26:37 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:28:39 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:28:48 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:30:33 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:30:41 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:30:41 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:30:46 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:33:33 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:34:38 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:34:57 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:36:22 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:36:32 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:36:32 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:36:33 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:38:52 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:38:53 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:39:25 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:39:25 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:39:33 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:39:33 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:39:35 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:39:50 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
